signatures,tumor_type
ID1,Biliary.AdenoCA
ID2,Biliary.AdenoCA
ID3,Biliary.AdenoCA
ID5,Biliary.AdenoCA
ID6,Biliary.AdenoCA
ID7,Biliary.AdenoCA
ID8,Biliary.AdenoCA
ID10,Biliary.AdenoCA
ID11b,Biliary.AdenoCA
ID14,Biliary.AdenoCA
ID24,Biliary.AdenoCA
ID26,Biliary.AdenoCA
ID1,Bladder.TCC
ID2,Bladder.TCC
ID3,Bladder.TCC
ID5,Bladder.TCC
ID6,Bladder.TCC
ID7,Bladder.TCC
ID8,Bladder.TCC
ID9,Bladder.TCC
ID10,Bladder.TCC
ID11a,Bladder.TCC
ID11b,Bladder.TCC
ID14,Bladder.TCC
ID17,Bladder.TCC
ID19,Bladder.TCC
ID20,Bladder.TCC
ID22,Bladder.TCC
ID25,Bladder.TCC
ID1,Bone.Benign
ID3,Bone.Benign
ID4,Bone.Benign
ID6,Bone.Benign
ID8,Bone.Benign
ID9,Bone.Benign
ID14,Bone.Benign
ID18,Bone.Benign
ID19,Bone.Benign
ID22,Bone.Benign
ID1,Bone.Epith
ID2,Bone.Epith
ID3,Bone.Epith
ID4,Bone.Epith
ID6,Bone.Epith
ID8,Bone.Epith
ID9,Bone.Epith
ID11b,Bone.Epith
ID12,Bone.Epith
ID14,Bone.Epith
ID18,Bone.Epith
ID19,Bone.Epith
ID22,Bone.Epith
ID1,Bone.Osteosarc
ID2,Bone.Osteosarc
ID3,Bone.Osteosarc
ID4,Bone.Osteosarc
ID6,Bone.Osteosarc
ID8,Bone.Osteosarc
ID9,Bone.Osteosarc
ID11b,Bone.Osteosarc
ID12,Bone.Osteosarc
ID18,Bone.Osteosarc
ID19,Bone.Osteosarc
ID22,Bone.Osteosarc
ID25,Bone.Osteosarc
ID26,Bone.Osteosarc
ID1,Breast.AdenoCA
ID2,Breast.AdenoCA
ID3,Breast.AdenoCA
ID4,Breast.AdenoCA
ID5,Breast.AdenoCA
ID6,Breast.AdenoCA
ID8,Breast.AdenoCA
ID9,Breast.AdenoCA
ID10,Breast.AdenoCA
ID11b,Breast.AdenoCA
ID12,Breast.AdenoCA
ID17,Breast.AdenoCA
ID18,Breast.AdenoCA
ID19,Breast.AdenoCA
ID20,Breast.AdenoCA
ID21,Breast.AdenoCA
ID22,Breast.AdenoCA
ID25,Breast.AdenoCA
ID1,Breast.DCIS
ID2,Breast.DCIS
ID4,Breast.DCIS
ID5,Breast.DCIS
ID6,Breast.DCIS
ID8,Breast.DCIS
ID9,Breast.DCIS
ID11b,Breast.DCIS
ID19,Breast.DCIS
ID1,Breast.LobularCA
ID2,Breast.LobularCA
ID4,Breast.LobularCA
ID5,Breast.LobularCA
ID6,Breast.LobularCA
ID8,Breast.LobularCA
ID9,Breast.LobularCA
ID11b,Breast.LobularCA
ID19,Breast.LobularCA
ID1,CNS.GBM
ID2,CNS.GBM
ID3,CNS.GBM
ID4,CNS.GBM
ID5,CNS.GBM
ID6,CNS.GBM
ID8,CNS.GBM
ID9,CNS.GBM
ID19,CNS.GBM
ID22,CNS.GBM
ID24,CNS.GBM
ID1,CNS.Medullo
ID2,CNS.Medullo
ID3,CNS.Medullo
ID4,CNS.Medullo
ID5,CNS.Medullo
ID6,CNS.Medullo
ID7,CNS.Medullo
ID8,CNS.Medullo
ID9,CNS.Medullo
