signatures,tumor_type
SBS1,Biliary.AdenoCA
SBS2,Biliary.AdenoCA
SBS5,Biliary.AdenoCA
SBS13,Biliary.AdenoCA
SBS17b,Biliary.AdenoCA
SBS22,Biliary.AdenoCA
SBS24,Biliary.AdenoCA
SBS32,Biliary.AdenoCA
SBS8,Biliary.AdenoCA
SBS18,Biliary.AdenoCA
SBS12,Biliary.AdenoCA
SBS34,Biliary.AdenoCA
SBS26,Biliary.AdenoCA
SBS14,Biliary.AdenoCA
SBS15,Biliary.AdenoCA
SBS20,Biliary.AdenoCA
SBS21,Biliary.AdenoCA
SBS95,Biliary.AdenoCA
SBS96,Biliary.AdenoCA
SBS98,Biliary.AdenoCA
SBS97,Biliary.AdenoCA
SBS1,Bladder.TCC
SBS2,Bladder.TCC
SBS5,Bladder.TCC
SBS13,Bladder.TCC
SBS8,Bladder.TCC
SBS18,Bladder.TCC
SBS41,Bladder.TCC
SBS92,Bladder.TCC
SBS34,Bladder.TCC
SBS1,Bone.Benign
SBS2,Bone.Benign
SBS5,Bone.Benign
SBS13,Bone.Benign
SBS8,Bone.Benign
SBS30,Bone.Benign
SBS1,Bone.Epith
SBS2,Bone.Epith
SBS5,Bone.Epith
SBS13,Bone.Epith
SBS17b,Bone.Epith
SBS8,Bone.Epith
SBS18,Bone.Epith
SBS3,Bone.Epith
SBS1,Bone.Osteosarc
SBS2,Bone.Osteosarc
SBS5,Bone.Osteosarc
SBS13,Bone.Osteosarc
SBS17b,Bone.Osteosarc
SBS8,Bone.Osteosarc
SBS18,Bone.Osteosarc
SBS3,Bone.Osteosarc
SBS35,Bone.Osteosarc
SBS30,Bone.Osteosarc
SBS1,Breast.AdenoCA
SBS2,Breast.AdenoCA
SBS5,Breast.AdenoCA
SBS13,Breast.AdenoCA
SBS17a,Breast.AdenoCA
SBS17b,Breast.AdenoCA
SBS8,Breast.AdenoCA
SBS18,Breast.AdenoCA
SBS3,Breast.AdenoCA
SBS41,Breast.AdenoCA
SBS85,Breast.AdenoCA
SBS34,Breast.AdenoCA
SBS100,Breast.AdenoCA
SBS1,Breast.DCIS
SBS2,Breast.DCIS
SBS5,Breast.DCIS
SBS13,Breast.DCIS
SBS18,Breast.DCIS
SBS3,Breast.DCIS
SBS34,Breast.DCIS
SBS1,Breast.LobularCA
SBS2,Breast.LobularCA
SBS5,Breast.LobularCA
SBS13,Breast.LobularCA
SBS8,Breast.LobularCA
SBS18,Breast.LobularCA
SBS3,Breast.LobularCA
SBS41,Breast.LobularCA
SBS34,Breast.LobularCA
SBS1,CNS.GBM
SBS2,CNS.GBM
SBS5,CNS.GBM
SBS13,CNS.GBM
SBS8,CNS.GBM
SBS3,CNS.GBM
SBS30,CNS.GBM
SBS11,CNS.GBM
SBS12,CNS.GBM
SBS19,CNS.GBM
SBS31,CNS.GBM
SBS15,CNS.GBM
SBS98,CNS.GBM
SBS99,CNS.GBM
SBS1,CNS.Medullo
SBS2,CNS.Medullo
SBS5,CNS.Medullo
SBS13,CNS.Medullo
SBS8,CNS.Medullo
SBS18,CNS.Medullo
SBS30,CNS.Medullo
SBS11,CNS.Medullo
SBS12,CNS.Medullo
SBS19,CNS.Medullo
SBS1,CNS.Oligo
SBS5,CNS.Oligo
SBS13,CNS.Oligo
SBS8,CNS.Oligo
SBS11,CNS.Oligo
SBS12,CNS.Oligo
SBS19,CNS.Oligo
SBS1,CNS.PiloAstro
SBS5,CNS.PiloAstro
SBS11,CNS.PiloAstro
SBS12,CNS.PiloAstro
SBS19,CNS.PiloAstro
SBS1,Cervix.AdenoCA
SBS2,Cervix.AdenoCA
SBS5,Cervix.AdenoCA
SBS13,Cervix.AdenoCA
SBS18,Cervix.AdenoCA
SBS1,Cervix.SCC
SBS2,Cervix.SCC
SBS5,Cervix.SCC
SBS13,Cervix.SCC
SBS18,Cervix.SCC
SBS41,Cervix.SCC
SBS33,Cervix.SCC
SBS34,Cervix.SCC
SBS1,ColoRect.AdenoCA
SBS2,ColoRect.AdenoCA
SBS5,ColoRect.AdenoCA
SBS13,ColoRect.AdenoCA
SBS17a,ColoRect.AdenoCA
SBS17b,ColoRect.AdenoCA
SBS8,ColoRect.AdenoCA
SBS18,ColoRect.AdenoCA
SBS41,ColoRect.AdenoCA
SBS85,ColoRect.AdenoCA
SBS28,ColoRect.AdenoCA
SBS93,ColoRect.AdenoCA
SBS54,ColoRect.AdenoCA
SBS31,ColoRect.AdenoCA
SBS88,ColoRect.AdenoCA
SBS94,ColoRect.AdenoCA
SBS34,ColoRect.AdenoCA
SBS26,ColoRect.AdenoCA
SBS14,ColoRect.AdenoCA
SBS15,ColoRect.AdenoCA
SBS20,ColoRect.AdenoCA
